28,active_model
2,rack
61,action_dispatch
2,logger
2,psych.so
56,psych
2,yaml
1,base64
155,rails
2,bigdecimal
83,arel
143,active_record
50,abstract_controller
5,erb
15,action_view
85,action_controller
11,action_mailer
4,active_resource
5,pg_ext
10,pg
1181,haml
1185,haml-rails
3,jquery-rails
2,jquery-ui-rails
204,sass
4,sass-rails
216,bootstrap-sass
2,bootbox-rails
2,select2-rails
20,ostruct
57,json
3,orm_adapter
44,warden
75,journey
3,delegate
2,tmpdir
16,tempfile
277,devise
1,multi_json
130,simple_form
41,erubis
22,singleton
206,responders
215,inherited_resources
1,subexec
1,shellwords
26,mini_magick
2,carrierwave
296,acts-as-taggable-on
3,pg_search
29,whenever
3,acts_as_list
2,default_value_for
30,zentest_mapping
39,inline
59,fuzzystringmatch
62,state_machine
3,figaro
476,backports
1,descendants_tracker
550,virtus
2,request_store
63,draper
9,naught
4,open-uri
173,css_parser
8,htmlentities
202,premailer
133,nokogiri
112,load_parsers
1244,mail
17,delayed_job
20,delayed_job_active_record
28,tilt
158,delayed_job_web
47,builder
72,airbrake
78,delayed-plugins-airbrake
16,daemons
52,analytical
68,metric_parser
73,conditional_vendored_metric_parser
3,dependency_detection
8,conditional_vendored_dependency_detection
306,newrelic_rpm
12,intercom-rails
54,intercom
5,ace-rails-ap
1,active_utils
179,active_merchant
184,activemerchant
3,encryptor
11,attr_encryptor
243,iso4217
2631,iso3166
2,country_select
8,biggs
6,charlock_holmes
2,currency_data
8,easy_money
7,oj
68,rabl
76,apipie-rails
22,strong_parameters
1,weakref
5,ref
90,v8
107,execjs
113,coffee_script
118,coffee-script
135,coffee-rails
1,uglifier
72,chunky_png
308,compass
322,compass-rails
125,webrick
1,abbrev
44,highline
448,capistrano
2,parallel
8,parallel_tests
6,sextant
2,prettyprint
10,pp
2,coderay
3,ipaddr
1,debug_inspector.so
6,debug_inspector
12,binding_of_caller
60,better_errors
54,quiet_assets
2,meta_request
3,method_source
5,slop
3,readline
1,ruby_debug.so
1,tracelines19
65,linecache19
76,ruby-debug-base
2,columnize
1,e2mmap
98,irb
299,ruby-debug
304,debugger
616,pry
683,pry-rails
4,pry-debugger
11,coolline
306,pry-coolline
5,pry-stack_explorer
1,rspec-rails
1,find
20,listen
2,terminal-notifier-guard
75,launchy
85,letter_opener
1,English
7,hodel_3000_compliant_logger
19,oink
91,chronic
1,flux_capacitor
102,delorean
10,sprockets
93,tzinfo
1,hike
2,callsite
2,rdoc
2,bcrypt_ext
17,bcrypt
12,csv
6,optparse
14,active_support
2,action_pack
17,i18n
25,active_model
2,rack
56,action_dispatch
2,logger
2,psych.so
56,psych
2,yaml
1,base64
147,rails
2,bigdecimal
77,arel
136,active_record
51,abstract_controller
5,erb
15,action_view
85,action_controller
11,action_mailer
4,active_resource
4,pg_ext
10,pg
1199,haml
1203,haml-rails
3,jquery-rails
3,jquery-ui-rails
207,sass
4,sass-rails
220,bootstrap-sass
2,bootbox-rails
2,select2-rails
20,ostruct
55,json
3,orm_adapter
43,warden
73,journey
3,delegate
2,tmpdir
14,tempfile
270,devise
1,multi_json
132,simple_form
39,erubis
22,singleton
200,responders
208,inherited_resources
1,subexec
1,shellwords
26,mini_magick
2,carrierwave
294,acts-as-taggable-on
3,pg_search
30,whenever
3,acts_as_list
2,default_value_for
29,zentest_mapping
38,inline
57,fuzzystringmatch
61,state_machine
3,figaro
465,backports
1,descendants_tracker
537,virtus
2,request_store
62,draper
8,naught
5,open-uri
171,css_parser
7,htmlentities
199,premailer
131,nokogiri
112,load_parsers
1075,mail
15,delayed_job
20,delayed_job_active_record
24,tilt
152,delayed_job_web
47,builder
70,airbrake
76,delayed-plugins-airbrake
16,daemons
50,analytical
62,metric_parser
67,conditional_vendored_metric_parser
3,dependency_detection
8,conditional_vendored_dependency_detection
304,newrelic_rpm
